City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,2015-01-01 01:00:00,,,1.0,40.01,36.37,,1.0,122.07,,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 02:00:00,,,0.02,27.75,19.73,,0.02,85.9,,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 03:00:00,,,0.08,19.32,11.08,,0.08,52.83,,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 04:00:00,,,0.3,16.45,9.2,,0.3,39.53,153.58,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 05:00:00,,,0.12,14.9,7.85,,0.12,32.63,,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 06:00:00,,,0.33,15.95,10.82,,0.33,29.87,64.25,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 07:00:00,,,0.45,15.94,12.47,,0.45,27.41,191.96,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 08:00:00,,,1.03,16.66,16.48,,1.03,20.92,177.21,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 09:00:00,,,1.47,16.25,18.02,,1.47,16.45,122.08,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 10:00:00,,,2.05,13.78,16.08,,2.05,15.14,,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 11:00:00,,,2.27,13.87,16.73,,2.27,14.12,99.17,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 12:00:00,,,1.73,12.87,14.63,,1.73,13.26,91.67,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 13:00:00,,,1.72,14.15,15.55,,1.72,17.2,95.92,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 14:00:00,,,1.85,15.74,17.62,,1.85,18.78,,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 15:00:00,,,0.95,15.94,16.18,,0.95,19.16,,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 16:00:00,,,0.87,17.28,18.32,,0.87,17.83,,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 17:00:00,,,0.8,19.04,20.0,,0.8,16.14,187.62,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 18:00:00,,,0.47,21.24,22.7,,0.47,11.93,,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 19:00:00,,,0.53,25.63,27.42,,0.53,14.99,,0.0,0.33,0.0,,
Ahmedabad,2015-01-01 20:00:00,,,0.47,16.22,16.0,,0.47,13.66,187.42,0.0,0.23,0.0,,
Ahmedabad,2015-01-01 21:00:00,,,0.83,16.5,17.52,,0.83,13.28,96.08,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 22:00:00,,,0.85,17.97,18.18,,0.85,12.23,,0.0,0.0,0.0,,
Ahmedabad,2015-01-01 23:00:00,,,1.08,15.52,15.4,,1.08,10.5,,0.0,0.0,0.0,,
Ahmedabad,2015-01-02 00:00:00,,,0.6,14.84,13.53,,0.6,9.12,,0.0,0.0,0.0,,
